127.0.0.1 - - [06/Jan/2022:17:05:53 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:05:54 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:05:55 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:08:13 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:08:16 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:09:19 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:15:38 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:16:42 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:17:37 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1419
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:17:45 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1419
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:18:31 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:18:43 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1451
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:19:01 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:19:20 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:19:35 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:21:43 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:22:17 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:24:23 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:24:38 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:24:46 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:25:03 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:25:12 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:28:38 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:28:46 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:28:55 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:29:05 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:29:30 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:29:43 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1479
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:29:49 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1479
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:31:02 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1502
